artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
"Phillips, Craig & Dean",Great I Am,29wltCk6XgsiLdIWw8vbKN,49,2012,alt-rock,0.408,0.75,2,-7.278,1,0.0352,0.00249,3.66e-05,0.086,0.258,160.141,269787,4,2
The Killers,The Way It Was,0x4rW5jv6fkKweBgjE5O8F,57,2012,alt-rock,0.661,0.801,1,-4.998,0,0.0246,0.0104,1.77e-05,0.0738,0.517,105.994,231160,4,1
Stone Sour,Tired,1q9ru9Wx2Q9Ez8irkGcyFa,54,2012,alt-rock,0.312,0.934,3,-3.793,0,0.0683,0.000606,6.76e-05,0.115,0.471,201.991,251840,4,2
Jack White,Sixteen Saltines,3XBPCbTU9rSGuyuK7Xbj4B,52,2012,alt-rock,0.603,0.868,11,-7.879,0,0.0887,0.0136,7.04e-06,0.0767,0.679,131.532,155720,4,1
Lifehouse,Between The Raindrops,1nxGSNnFCpDLwm3umCOUpi,51,2012,alt-rock,0.525,0.63,6,-6.673,1,0.0317,0.00119,0.0,0.146,0.236,106.978,285120,4,2
Thousand Foot Krutch,We Are,6Rtrt8cKaQ7gpuKAhiHOMn,53,2012,alt-rock,0.572,0.887,11,-4.304,0,0.102,0.00103,0.0,0.0302,0.558,121.002,198101,4,1
TobyMac,Steal My Show,5mYLVplVjmd1GMe2oAhr9O,48,2012,alt-rock,0.621,0.881,0,-3.872,1,0.0295,0.0433,0.0,0.401,0.622,104.975,215946,4,1
WALK THE MOON,Jenny,7eMpW9I1ZpVs6VQ90naDBh,49,2012,alt-rock,0.544,0.788,5,-5.593,0,0.0474,0.000366,0.0,0.141,0.818,148.121,245133,4,1
Miike Snow,Paddling Out,2egGsu9X7zdNJxU9Kftq6l,50,2012,alt-rock,0.599,0.818,10,-3.652,0,0.0394,0.0095,0.00571,0.297,0.366,128.159,217960,4,2
Die Antwoord,I Fink U Freeky,2wdTyQevxBPHraGsFGiyjx,58,2012,alt-rock,0.843,0.751,6,-6.5,1,0.223,0.0292,1.71e-05,0.499,0.514,129.985,280920,4,0
Flyleaf,Fire Fire,6SOzNLaZF6gHGgh7qU56hE,49,2012,alt-rock,0.419,0.906,4,-4.464,0,0.0448,0.0037,0.00139,0.13,0.337,174.062,181907,4,2
Victimas Del Doctor Cerebro,El Esqueleto,0CucYEXuGngb0vfUMpOmID,45,2012,alt-rock,0.556,0.872,7,-5.573,1,0.174,0.0402,0.0,0.151,0.687,150.339,223013,4,0
Hollywood Undead,Dead Bite,5qnF4Ss6NHiUX45HryKEol,50,2012,alt-rock,0.665,0.908,0,-4.562,1,0.127,0.0901,0.0,0.917,0.653,96.039,218267,4,1
Tenth Avenue North,Worn,6jAAYLKxXPyeEoddXu6Gf7,48,2012,alt-rock,0.51,0.42,6,-8.014,1,0.0312,0.384,0.0,0.102,0.19,125.898,244120,4,2
The Neighbourhood,Leaving Tonight,6C0T7QMpmeDoDkke32Ctqb,54,2012,alt-rock,0.566,0.681,9,-5.443,0,0.0299,0.0149,0.0,0.104,0.187,119.916,203880,4,2
Britt Nicole,Gold,2fdd8W8eTym1gWO1dl1nxo,49,2012,alt-rock,0.65,0.819,8,-3.389,1,0.031,0.0266,0.0,0.348,0.895,95.958,179334,4,1
Hinder,Save Me,65jwtnBytda6pB8uUGDM2X,50,2012,alt-rock,0.56,0.975,0,-3.788,1,0.0641,0.000214,0.0479,0.339,0.673,90.957,166200,4,1
Jack White,Love Interruption,3s3ciLHOXE1xVqGkdxwHPs,50,2012,alt-rock,0.582,0.365,9,-11.04,1,0.0388,0.648,1.03e-06,0.147,0.312,93.856,157973,4,1
Saint Motel,Puzzle Pieces,2Zd9awmsA8KuF65snhz7YH,48,2012,alt-rock,0.537,0.89,5,-5.191,1,0.0488,0.117,2.05e-05,0.279,0.597,114.088,231387,4,1
Jack White,I'm Shakin',07AjyDeE85pDr4Dj8BzgWB,51,2012,alt-rock,0.586,0.781,11,-10.052,0,0.235,0.0142,0.00105,0.0673,0.755,80.753,180173,4,0
Deftones,Poltergeist,109Reh7np1btqIGNbVTAq3,50,2012,alt-rock,0.436,0.951,11,-3.383,1,0.116,1.37e-05,0.712,0.0771,0.285,155.977,211413,4,3
Electric Guest,American Daydream,2r0lAM25q5tJE1H4SesviY,47,2012,alt-rock,0.666,0.473,5,-10.06,0,0.0454,0.154,0.00317,0.109,0.409,75.002,168627,4,1
Passion,One Thing Remains,1bVVKpdOuQ77Ti3kcTdfTy,47,2012,alt-rock,0.428,0.73,11,-4.435,1,0.0286,0.00497,0.0,0.244,0.161,147.976,239613,4,2
The Heavy,What Makes A Good Man?,3nGWzFBJ5tMzHWAgs16fK6,54,2012,alt-rock,0.456,0.803,2,-4.265,1,0.0786,0.000259,0.000368,0.291,0.333,186.15,226380,4,2
Fred Eaglesmith,Trucker Speed,46odp6vkKYlv0fPdRhdk1Y,48,2012,alt-rock,0.735,0.11,7,-13.814,1,0.0516,0.905,0.000101,0.104,0.288,130.106,311373,4,1
Matt Redman,Blessed Be Your Name,14HrSWGYPCDwqAcVFUYKsq,54,2012,alt-rock,0.443,0.819,11,-6.61,1,0.0615,0.00338,0.016,0.696,0.0983,116.033,348893,4,2
Thousand Foot Krutch,The End Is Where We Begin,4XevN0IZXLR9f59QrSjOXo,53,2012,alt-rock,0.463,0.88,11,-4.204,0,0.0499,0.00189,0.0,0.126,0.513,177.872,224854,4,2
DIIV,(Druun),2zHTg5sylSRQ9Ng6D4JbC2,53,2012,alt-rock,0.468,0.753,9,-8.553,1,0.0309,3.42e-05,0.628,0.0977,0.646,134.968,127800,4,3
Saint Motel,Daydream / Wetdream / Nightmare,3UYFbRnkJlvm4POhrtsEL7,48,2012,alt-rock,0.292,0.74,6,-6.444,1,0.0758,0.117,0.00458,0.0938,0.193,91.973,307093,4,2
Shovels & Rope,Birmingham,3lwcrfL6LfZ1p9ZU8KRx4n,47,2012,alt-rock,0.61,0.61,7,-7.071,1,0.0337,0.0117,0.0,0.134,0.442,82.523,240560,4,1
St. Lucia,Elevate,0pBLfQ5JBjh12H6DGZjMwM,49,2012,alt-rock,0.541,0.982,2,-4.908,1,0.106,0.00767,0.000809,0.291,0.723,104.035,308360,4,1
The Menzingers,Good Things,00hgtJwONC7jG6X0GUMXvv,48,2012,alt-rock,0.48,0.93,3,-5.985,1,0.0385,0.00479,0.104,0.161,0.487,136.904,143187,4,2
Young Guns,Bones,7e5xSRGOpvzqIGN40g5Rtp,43,2012,alt-rock,0.351,0.88,6,-3.651,0,0.0564,3.26e-06,0.552,0.298,0.536,157.016,197681,4,3
Deftones,Goon Squad,0vB4pHzanZWUMprHnlsafz,49,2012,alt-rock,0.29,0.927,7,-6.39,1,0.104,8.58e-05,0.868,0.0655,0.038,156.146,340000,4,3
Fobia,El Microbito,0wTrY23ot5A0aog0JNzXLS,44,2012,alt-rock,0.701,0.926,0,-1.395,1,0.0327,0.13,0.00103,0.111,0.935,121.944,156947,4,1
Sidewalk Prophets,Keep Making Me,7m4E8QpiUyhPBGNALonJqS,49,2012,alt-rock,0.489,0.464,6,-6.619,1,0.0303,0.186,9.25e-05,0.109,0.215,74.913,201573,4,2
The Killers,Miss Atomic Bomb,1XsS266JiQtoqqLdlgD17V,55,2012,alt-rock,0.56,0.734,10,-7.094,1,0.0317,0.0273,2.12e-05,0.253,0.332,132.953,293507,4,2
DIIV,Doused,30uvCVEYqgktyLfDcI76Hx,53,2012,alt-rock,0.376,0.868,5,-4.914,0,0.0377,0.0677,0.762,0.0645,0.742,169.968,222973,4,3
Justin Townes Earle,Look The Other Way,69z7yKXiyR9gvBTHh1kFXV,47,2012,alt-rock,0.651,0.649,4,-6.847,1,0.027,0.334,3.92e-06,0.259,0.812,120.106,149760,4,1
Inspector,Me Estoy Enamorando,0CYoeBgcZEPjiRhwtxGDTR,62,2012,alt-rock,0.671,0.927,10,-3.868,1,0.0564,0.0266,0.000209,0.0951,0.946,163.945,243253,4,1
Nine Lashes,Write It Down,3fNP3Bo2WgK1CJQ1BFEqLp,50,2012,alt-rock,0.505,0.974,6,-2.956,1,0.0783,8.11e-05,0.0,0.0565,0.512,95.982,169293,4,1
Natalia Lafourcade,"Amor, Amor de Mis Amores (with Devendra Banhart)",3dB42OEuVNiktvt3V5JRVI,60,2012,alt-rock,0.69,0.398,2,-6.704,1,0.0274,0.14,3.08e-05,0.128,0.643,105.009,237000,4,1
David Crowder Band,After All (Holy),3daAYqNEt5hzPtHycscQoM,46,2012,alt-rock,0.103,0.645,1,-6.372,1,0.0467,0.107,0.011,0.0857,0.124,66.668,276093,4,2
Jack White,Love Is Blindness,1kBM7AURqQTIXFePNVpEwP,52,2012,alt-rock,0.266,0.74,10,-7.972,0,0.0788,0.0513,0.00426,0.162,0.5,48.578,198613,4,2
Michael W. Smith,Awesome God,089YdobV7859anDvVu1TsY,50,2012,alt-rock,0.298,0.66,7,-8.187,1,0.041,0.283,5.24e-06,0.629,0.185,138.902,197613,4,2
Big Daddy Weave,The Only Name (Yours Will Be),3Ba5WQizFbQPRN7MtlXoTF,45,2012,alt-rock,0.597,0.834,11,-4.307,1,0.0301,0.0276,0.0,0.174,0.52,115.981,261880,4,1
Matthew West,Forgiveness,0CKKKckCxCLgGMBN9r3SCR,45,2012,alt-rock,0.407,0.669,0,-5.166,1,0.0337,0.00737,1.13e-05,0.135,0.197,178.21,267347,4,2
Evans Blue,This Time It's Different,7079nY1EuvdfIxaMYaTjR9,49,2012,alt-rock,0.32,0.864,5,-4.882,0,0.0549,0.000934,0.0488,0.37,0.277,109.54,209092,5,2
Billy Bragg,When the Roses Bloom Again,5UxJZ4bAva9wi19szFiddW,54,2012,alt-rock,0.605,0.4,0,-9.116,1,0.0286,0.507,0.00015,0.161,0.389,113.462,247640,4,1
My Darkest Days,Rolling Stoned,5HMgPPUaCbabKrBXGNl9Wc,47,2012,alt-rock,0.62,0.932,5,-4.703,0,0.0415,0.0437,0.0,0.125,0.663,123.976,182307,4,1
Plumb,Need You Now (How Many Times),5RvY3ReERt9o622MqEydNY,44,2012,alt-rock,0.607,0.686,10,-4.611,1,0.0306,0.00245,4.56e-06,0.0901,0.268,132.032,252240,4,2
Electric Guest,Waves,12GEv3kB19M52HvybQ6maU,44,2012,alt-rock,0.768,0.833,10,-4.649,0,0.0367,0.0255,6.15e-05,0.0975,0.858,120.006,186107,4,1
León Larregui,Souvenir,2tXJEJyLeG4Ea9E4ntdyt9,43,2012,alt-rock,0.593,0.614,4,-9.57,0,0.0337,0.663,0.134,0.128,0.548,77.491,238280,4,1
Kaiser Chiefs,I Predict A Riot,3EnyKqEJFylT6vU1KF0YyE,44,2012,alt-rock,0.359,0.989,8,-1.735,1,0.0852,0.0169,0.0,0.132,0.285,158.878,232413,4,2
The Neighbourhood,Baby Came Home,3ypXE4brttsQR3OLLZbLZB,50,2012,alt-rock,0.639,0.571,0,-5.766,1,0.0284,0.0127,0.00283,0.0963,0.273,113.037,226893,4,1
Thousand Foot Krutch,Light Up the Sky,1cLr6aFd7obZ90NUlkq9kO,47,2012,alt-rock,0.439,0.949,6,-4.33,0,0.17,0.00061,0.000514,0.378,0.686,177.965,239627,4,0
The Black Keys,Little Black Submarines - Radio Edit [radio edit],6ZWn1MVUaBH2HNQobhMYeE,43,2012,alt-rock,0.299,0.706,2,-5.421,1,0.0687,0.141,3.58e-05,0.0703,0.247,94.263,204693,4,2
Throw The Fight,Not so Hollywood,1CVl5CsrQWDVMwp9RBUgpU,52,2012,alt-rock,0.497,0.887,1,-5.614,1,0.188,0.000519,0.00147,0.34,0.565,162.075,163212,4,0
My Darkest Days,Nature Of The Beast,45TmUqjmDrOjGNYSGFzQn1,47,2012,alt-rock,0.57,0.902,11,-3.933,1,0.0401,0.000604,0.000116,0.0997,0.509,120.029,180933,4,1
Tenacious D,To Be The Best,7766dSH6uDD3qjI3TATbtr,51,2012,alt-rock,0.591,0.937,9,-2.773,1,0.145,0.0422,1.98e-06,0.422,0.748,179.817,60453,4,0
Black Veil Brides,Lost It All,1wfZKFKzBDRl1wTK7TvYQe,49,2012,alt-rock,0.254,0.563,10,-7.495,0,0.0392,0.0895,0.00221,0.195,0.0979,111.685,319947,4,2
Deftones,Graphic Nature,7HLDvobIFC895EGNMzhdZb,47,2012,alt-rock,0.375,0.909,9,-3.355,0,0.0359,1.87e-05,0.217,0.361,0.316,91.936,271533,4,2
Throw The Fight,(I Just) Died in Your Arms,4G9ZGwsT2OMkQTfoly4oYe,54,2012,alt-rock,0.337,0.882,11,-5.426,0,0.108,6.2e-05,2.11e-06,0.0684,0.559,166.947,206228,4,2
